Designator,Mid X,Mid Y,Layer,Rotation
R203,55.375005mm,41.175005000000006mm,Top,270.0
R202,56.575005mm,41.175005000000006mm,Top,270.0
R201,57.775005mm,41.175005000000006mm,Top,270.0
P106,36.875005mm,30.225005000000003mm,Top,90.0
P105,44.495005mm,30.225005000000003mm,Top,90.0
P104,40.485005mm,30.225005000000003mm,Top,90.0
P201,38.525005mm,41.675005000000006mm,Top,270.0
P200,59.075005mm,43.175005000000006mm,Top,270.0
J100,33.325005000000004mm,20.375005mm,Bottom,270.0
D100,55.675005mm,20.182705000000002mm,Bottom,0.0
D205,29.078505mm,34.918605mm,Top,270.0
D206,41.575005000000004mm,38.375005mm,Top,0.0
D203,46.375005mm,38.375005mm,Top,0.0
D200,55.975005mm,38.375005mm,Top,0.0
D116,54.638905mm,29.575505000000003mm,Top,0.0
D115,50.400605mm,29.575505000000003mm,Top,0.0
D114,54.638905mm,27.642105000000004mm,Top,0.0
D113,50.400605mm,27.642105000000004mm,Top,0.0
D112,54.638905mm,25.708805mm,Top,0.0
D111,50.400605mm,25.708805mm,Top,0.0
D110,54.638905mm,23.775505000000003mm,Top,0.0
D109,50.521905000000004mm,23.636105000000004mm,Top,0.0
D202,51.175005mm,38.375005mm,Top,0.0
C143,37.375005mm,39.275005mm,Top,90.0
C144,36.175005mm,39.275005mm,Top,270.0
C145,34.975004999999996mm,39.275005mm,Top,90.0
C146,33.775005mm,39.275005mm,Top,90.0
C112,48.462805mm,29.889705000000003mm,Bottom,180.0
C111,58.775005mm,30.375005mm,Bottom,0.0
C123,33.175005mm,11.750005000000002mm,Bottom,180.0
C117,33.175005mm,10.482505000000003mm,Bottom,180.0
C105,54.975005mm,17.975005000000003mm,Bottom,180.0
C100,57.547505mm,17.975005000000003mm,Bottom,0.0
C229,37.375005mm,40.180105000000005mm,Bottom,270.0
C224,59.225005mm,41.575005000000004mm,Top,270.0
C223,59.225005mm,37.325005000000004mm,Top,270.0
C222,59.175005mm,40.275005mm,Bottom,90.0
C221,38.952304999999996mm,37.502205000000004mm,Top,90.0
C220,39.059705mm,37.475005mm,Bottom,90.0
C225,43.574905mm,38.425005000000006mm,Bottom,90.0
C226,42.475004999999996mm,38.425005000000006mm,Bottom,90.0
C227,40.324905mm,38.425005000000006mm,Bottom,90.0
C228,39.259705mm,41.180105000000005mm,Bottom,270.0
C212,48.374905mm,38.425005000000006mm,Bottom,90.0
C213,47.275005mm,38.425005000000006mm,Bottom,90.0
C214,45.124905mm,38.425005000000006mm,Bottom,90.0
C215,44.080605mm,41.180105000000005mm,Bottom,270.0
C200,57.974905mm,38.425005000000006mm,Bottom,90.0
C201,56.875005mm,38.425005000000006mm,Bottom,90.0
C202,54.724905mm,38.425005000000006mm,Bottom,90.0
C203,53.684505mm,41.180105000000005mm,Bottom,270.0
C195,46.124905mm,32.975005mm,Bottom,90.0
C190,32.025005mm,33.125005mm,Bottom,90.0
C185,53.225005mm,32.975005mm,Bottom,90.0
C180,39.025005mm,32.975005mm,Bottom,90.0
C142,33.775005mm,42.175005000000006mm,Bottom,90.0
C141,34.975004999999996mm,42.175005000000006mm,Bottom,90.0
C139,36.174904999999995mm,42.175005000000006mm,Bottom,270.0
C135,37.375005mm,42.175005000000006mm,Bottom,90.0
C211,48.866905mm,41.180105000000005mm,Bottom,270.0
C210,49.924905mm,38.425005000000006mm,Bottom,90.0
C209,52.075005000000004mm,38.425005000000006mm,Bottom,90.0
C208,53.174905mm,38.425005000000006mm,Bottom,90.0
C147,42.425005mm,24.766305000000003mm,Bottom,0.0
F101,57.475005mm,11.577805000000005mm,Bottom,270.0
R134,48.225004999999996mm,12.075005000000004mm,Bottom,180.0
R133,48.225004999999996mm,10.900005mm,Bottom,180.0
C133,48.075005000000004mm,14.185005000000004mm,Bottom,270.0
R131,41.279005mm,28.831205000000004mm,Bottom,0.0
R130,47.974905mm,23.650005000000004mm,Bottom,270.0
R129,47.974905mm,27.525005000000004mm,Bottom,270.0
Y101,45.687605mm,15.757605000000002mm,Bottom,180.0
C116,44.746404999999996mm,17.246405000000003mm,Bottom,0.0
C115,46.610605mm,17.232705000000003mm,Bottom,180.0
C124,42.425005mm,25.906105000000004mm,Bottom,180.0
R121,32.749605mm,9.398005000000005mm,Bottom,0.0
R106,38.925005mm,11.250005000000002mm,Bottom,180.0
J101,33.575005000000004mm,10.525005mm,Top,0.0
C108,46.475004999999996mm,14.175005000000002mm,Bottom,180.0
R105,28.525905mm,26.793905000000002mm,Top,180.0
R104,28.725905mm,27.983905000000004mm,Top,180.0
R103,28.525905mm,29.093905000000003mm,Top,180.0
R125,27.975005000000003mm,40.655005mm,Top,90.0
C104,54.125005mm,9.575005000000004mm,Bottom,270.0
C137,46.779804999999996mm,29.866505000000004mm,Top,180.0
D101,57.345505mm,15.330505000000002mm,Bottom,0.0
C101,30.383405mm,9.398005000000005mm,Bottom,0.0
R102,58.547505mm,16.900505000000003mm,Bottom,0.0
R101,47.974905mm,19.775005000000004mm,Bottom,90.0
D102,28.675005mm,10.775005mm,Top,270.0
Y102,43.031205mm,20.788505000000004mm,Bottom,270.0
R122,28.675005mm,30.975005000000003mm,Bottom,180.0
R123,30.965205mm,32.999105mm,Bottom,90.0
R127,42.875005mm,15.075005000000004mm,Bottom,0.0
R128,39.197205mm,28.831205000000004mm,Bottom,0.0
D106,50.521905000000004mm,16.210105000000002mm,Top,0.0
D105,50.521905000000004mm,18.010105000000003mm,Top,0.0
D107,44.370005mm,12.485505000000003mm,Bottom,0.0
D104,50.521905000000004mm,19.810105000000004mm,Top,0.0
D103,50.521905000000004mm,21.610105000000004mm,Top,0.0
C140,42.875005mm,16.175005000000002mm,Bottom,180.0
C132,45.307505mm,19.799905000000003mm,Bottom,270.0
C136,45.307505mm,21.875105mm,Bottom,90.0
C127,34.675005mm,28.831205000000004mm,Bottom,180.0
C138,59.141105mm,12.802805000000003mm,Bottom,270.0
C130,44.657505mm,26.921505000000003mm,Bottom,180.0
C131,34.675005mm,29.975005000000003mm,Bottom,180.0
C122,44.657505mm,24.766305000000003mm,Bottom,0.0
C114,28.806705mm,14.975005000000003mm,Top,180.0
C103,55.175005mm,9.575005000000004mm,Bottom,270.0
C113,28.806705mm,13.775005000000004mm,Top,0.0
C102,54.975005mm,16.900505000000003mm,Bottom,0.0
U105,39.265605mm,20.925005000000002mm,Top,90.0
R428,17.909399mm,13.979499mm,Bottom,90.0
R427,4.774998999999999mm,12.624999mm,Bottom,0.0
R426,16.300798999999998mm,12.984899mm,Top,270.0
R425,14.992699mm,20.099999mm,Top,90.0
R424,14.992699mm,22.397099mm,Top,270.0
LED4,3.233099mm,11.736099mm,Top,270.0
LED3,16.300798999999998mm,15.134199mm,Top,90.0
LED2,16.074099mm,20.124999000000003mm,Top,90.0
LED1,16.074099mm,22.372099mm,Top,270.0
R422,9.083399mm,11.624999mm,Bottom,180.0
C426,15.314999mm,17.024999mm,Top,0.0
C425,12.624999mm,17.024999mm,Top,180.0
F410,9.781999mm,25.291799mm,Top,0.0
C415,14.948399mm,11.324999mm,Bottom,0.0
C414,13.973399mm,20.834999mm,Bottom,180.0
U411,12.547199mm,15.974999mm,Bottom,90.0
D410,5.424999mm,24.991799mm,Bottom,180.0
R411,5.5233989999999995mm,27.891799mm,Bottom,270.0
D417,8.173399mm,28.124999mm,Bottom,180.0
C410,13.417999mm,26.184999mm,Bottom,180.0
D412,9.074999mm,28.741799mm,Top,180.0
R410,6.298399mm,28.774999mm,Top,0.0
D413,9.074999mm,27.116799mm,Top,180.0
C411,8.148399mm,26.324999000000002mm,Bottom,0.0
R413,8.148399mm,24.791799mm,Bottom,0.0
D414,5.624999mm,26.324999000000002mm,Bottom,0.0
D418,9.354999mm,21.124999000000003mm,Top,0.0
D416,14.226599mm,25.218699mm,Top,180.0
U410,13.823399mm,27.824999000000002mm,Top,180.0
C412,13.417999mm,28.224999mm,Bottom,180.0
C413,11.448399mm,27.387899mm,Top,90.0
D411,5.7733989999999995mm,26.316499mm,Top,0.0
U420,6.688399mm,17.216799mm,Bottom,180.0
R420,10.798399mm,25.641899mm,Bottom,90.0
C429,8.983399mm,12.624999mm,Bottom,0.0
C427,9.704699mm,25.826899mm,Bottom,270.0
C428,6.7942990000000005mm,12.624999mm,Bottom,180.0
C423,7.621599mm,22.716799mm,Bottom,90.0
C421,8.813199mm,22.716799mm,Bottom,90.0
C422,10.004699mm,22.716799mm,Bottom,90.0
C424,6.424999mm,22.716799mm,Bottom,270.0
R421,10.179699mm,20.954999mm,Bottom,0.0
R423,6.894299mm,11.624999mm,Bottom,180.0
D420,8.424999mm,10.624999mm,Top,0.0
C420,5.374999mm,23.124999000000003mm,Bottom,270.0
L420,13.324999mm,23.024999mm,Bottom,180.0
D421,13.674999mm,12.664199mm,Top,270.0
L421,7.924999mm,15.224999mm,Top,0.0
